Zipcode,Neighborhood_Score,Rental_Price,Year,Month,City
91324,141.971322929508,2463.70961612928,2019,3,Los Angeles
91325,74.689021844069,2790.24439503219,2019,3,Los Angeles
91326,20.1587842345664,3023.04163338293,2019,3,Los Angeles
91331,161.764793191329,2169.82068776754,2019,3,Los Angeles
91335,135.284588220551,2116.0116570304,2019,3,Los Angeles
91340,3.81151498780547,,2019,3,Los Angeles
91342,45.8759004347206,2254.74516532875,2019,3,Los Angeles
91343,51.300644198888,2392.63853955454,2019,3,Los Angeles
91344,44.1304533815271,2604.13156267408,2019,3,Los Angeles
91345,17.2778647822989,2050.94633804561,2019,3,Los Angeles
91350,0,,2019,3,Los Angeles
91351,0,,2019,3,Los Angeles
91352,11.581929514467,2147.57228040776,2019,3,Los Angeles
91354,0,,2019,3,Los Angeles
91356,70.9433632215098,4109.68740438311,2019,3,Los Angeles
91364,0.758217789388125,3174.35747362525,2019,3,Los Angeles
91367,30.2079417218769,3186.54255716737,2019,3,Los Angeles
91401,85.9522286140614,2490.94592636587,2019,3,Los Angeles
91402,113.048997880625,2144.1023695132,2019,3,Los Angeles
91403,14.585552915495,4252.80910504723,2019,3,Los Angeles
91405,73.2295098821219,2190.07911423392,2019,3,Los Angeles
91406,69.2561816180565,2139.06838448718,2019,3,Los Angeles
91411,-8.03656323833804,2418.05793843524,2019,3,Los Angeles
91423,68.5650611327074,3263.8497366092,2019,3,Los Angeles
91436,3.39873248722675,5054.38735901421,2019,3,Los Angeles
91501,0.0127818860160037,,2019,3,Los Angeles
91502,0,,2019,3,Los Angeles
91504,0.449087286793946,,2019,3,Los Angeles
91505,0.388415805899956,,2019,3,Los Angeles
91506,0.000663523862202433,,2019,3,Los Angeles
91601,65.0055031046426,2424.7992869273,2019,3,Los Angeles
91602,13.4749280899893,3311.06680930128,2019,3,Los Angeles
91604,16.695273578245,4042.00212625712,2019,3,Los Angeles
91605,192.821263840836,2114.43329001413,2019,3,Los Angeles
91606,132.187557389317,2072.00277248542,2019,3,Los Angeles
91607,59.377025977713,2963.36530252346,2019,3,Los Angeles
91608,0.461000459972094,,2019,3,Los Angeles
91722,0,,2019,3,Los Angeles
91723,0,,2019,3,Los Angeles
91731,0,,2019,3,Los Angeles
91732,0,,2019,3,Los Angeles
91740,0,,2019,3,Los Angeles
91741,0,,2019,3,Los Angeles
91744,0.0016933476974594,,2019,3,Los Angeles
91748,0,,2019,3,Los Angeles
91750,0,,2019,3,Los Angeles
91754,0,,2019,3,Los Angeles
91755,0,,2019,3,Los Angeles
91765,0,,2019,3,Los Angeles
91766,0,,2019,3,Los Angeles
91767,0,,2019,3,Los Angeles
91768,0,,2019,3,Los Angeles
91773,0,,2019,3,Los Angeles
91775,0,,2019,3,Los Angeles
91789,0,,2019,3,Los Angeles
91790,0,,2019,3,Los Angeles
91792,0,,2019,3,Los Angeles
91801,0,,2019,3,Los Angeles
91803,0,,2019,3,Los Angeles
92372,0,,2019,3,Los Angeles
93510,0,,2019,3,Los Angeles
93534,0,,2019,3,Los Angeles
93550,0,,2019,3,Los Angeles
93551,0,,2019,3,Los Angeles
93552,0,,2019,3,Los Angeles
93591,0,,2019,3,Los Angeles
46327,0.580253234779199,,2019,3,Chicago
46394,2.05315196050293,,2019,3,Chicago
60018,14.7787538016304,,2019,3,Chicago
60068,0,,2019,3,Chicago
60106,-0.00366406752556898,,2019,3,Chicago
60131,0.0204011336310088,,2019,3,Chicago
60171,0.00155270044565124,,2019,3,Chicago
60176,1.00679893694529,,2019,3,Chicago
60202,0.00167078890706175,,2019,3,Chicago
60302,12.7749489224973,,2019,3,Chicago
60304,4.96635576189793,,2019,3,Chicago
60402,0.532192982217772,,2019,3,Chicago
60406,0.603430107673221,,2019,3,Chicago
60419,0.876565926861764,,2019,3,Chicago
60456,4.84308111134586,,2019,3,Chicago
60459,0.976595681046225,,2019,3,Chicago
60501,1.33328353499275,,2019,3,Chicago
60534,0.0949729455197203,,2019,3,Chicago
60601,6.51424047594873,1931.81299631205,2019,3,Chicago
60602,124.123566745359,,2019,3,Chicago
60603,23.4990619080086,,2019,3,Chicago
60604,9.70474659758478,,2019,3,Chicago
60605,30.2198014741838,2073.25844612005,2019,3,Chicago
60606,11.3860184070192,,2019,3,Chicago
60607,87.6656567190293,2007.09808884247,2019,3,Chicago
60608,112.585746646365,1704.90689347689,2019,3,Chicago
60609,145.660453547476,1440.38263672716,2019,3,Chicago
60610,83.1165225526651,2059.82807917068,2019,3,Chicago
60611,1.38705569808182,1961.19057037865,2019,3,Chicago
60612,193.311285896487,1893.30986799937,2019,3,Chicago
60613,86.7101084969376,2483.19971126604,2019,3,Chicago
60614,80.5556898411288,5077.99916919254,2019,3,Chicago
60615,123.261169936189,2000.81105621461,2019,3,Chicago
60616,90.8524036934545,1929.94500911917,2019,3,Chicago
60617,195.0403843172,1418.99369374854,2019,3,Chicago
60618,77.8478621651068,2076.40867116739,2019,3,Chicago
60619,394.226844409136,1441.76472115335,2019,3,Chicago
60620,312.369505560031,1425.53229523864,2019,3,Chicago
60621,321.286641324016,1349.99527346202,2019,3,Chicago
60622,105.312383428078,2393.15562975099,2019,3,Chicago
60623,193.148167641957,1447.78815592148,2019,3,Chicago
60624,458.807728759441,1477.36434180747,2019,3,Chicago
60625,81.5955028136881,2100.99822095109,2019,3,Chicago
60626,69.5439061102897,2027.36562388219,2019,3,Chicago
60628,290.414991019208,1400.97922620627,2019,3,Chicago
60629,294.027666040555,1494.73721680873,2019,3,Chicago
60630,52.1373766783634,1971.4928334643,2019,3,Chicago
60631,9.91504631948227,2099.044423406,2019,3,Chicago
60632,115.107317656673,1532.25834805588,2019,3,Chicago
60633,13.7578635491581,1413.99761255958,2019,3,Chicago
60634,37.4249022601094,1874.29750470908,2019,3,Chicago
60636,284.0987056514,1351.99720008542,2019,3,Chicago
60637,219.211863199734,1379.54204334164,2019,3,Chicago
60638,54.3658900960353,1671.07814313765,2019,3,Chicago
60639,181.923183818228,1716.91339551412,2019,3,Chicago
60640,70.5828612600129,2258.67572321378,2019,3,Chicago
60641,133.918989872438,1908.01430051529,2019,3,Chicago
60642,53.9117758644012,2180.67608047643,2019,3,Chicago
60643,100.081985546373,1480.67664981442,2019,3,Chicago
60644,276.589760102075,1541.55442686434,2019,3,Chicago
60645,35.523368274572,2108.67265561871,2019,3,Chicago
60646,8.10326835468681,2241.73482990907,2019,3,Chicago
60647,160.331017561138,2015.23128462416,2019,3,Chicago
60649,255.552649010062,1480.69104769446,2019,3,Chicago
60651,241.992787545762,1554.03067016173,2019,3,Chicago
60652,52.6305072515089,1532.09949405661,2019,3,Chicago
